25.02.2019 12:38:50: 0h 3min | (eXe) Maj. Gomez(76561198158640145) | AdminConsole
25.02.2019 12:39:24: 0h 3min | (eXe) Maj. Gomez(76561198158640145) | AdminConsole
25.02.2019 12:39:45: 0h 3min | (eXe) Maj. Gomez(76561198158640145) | HealSelf
25.02.2019 12:39:55: 0h 4min | (eXe) Maj. Gomez(76561198158640145) | 
25.02.2019 12:40:12: 0h 4min | (eXe) Maj. Gomez(76561198158640145) | AdminConsole
25.02.2019 12:41:00: 0h 5min | (eXe) Maj. Gomez(76561198158640145) | Request Steam Name - (eXe) Maj. Gomez [CIV](76561198158640145)
25.02.2019 12:41:15: 0h 5min | (eXe) Maj. Gomez(76561198158640145) | Teleport - Target To Me - (eXe) Maj. Gomez [CIV](76561198158640145)
25.02.2019 12:41:16: 0h 5min | (eXe) Maj. Gomez(76561198158640145) | Teleport - Me To Target - (eXe) Maj. Gomez [CIV](76561198158640145)
25.02.2019 12:43:31: 0h 7min | (eXe) Maj. Gomez(76561198158640145) | SPECTATE - switchedCamera on () - 
25.02.2019 12:43:55: 0h 8min | (eXe) Maj. Gomez(76561198158640145) | Teleport - Target To Me - (eXe) Maj. Gomez [CIV](76561198158640145)
25.02.2019 12:44:16: 0h 8min | (eXe) Maj. Gomez(76561198158640145) | Teleport In Facing Direction (10m steps) - 1
25.02.2019 12:44:17: 0h 8min | (eXe) Maj. Gomez(76561198158640145) | Teleport In Facing Direction (10m steps) - 0
25.02.2019 12:44:53: 0h 9min | (eXe) Maj. Gomez(76561198158640145) | HealSelf
25.02.2019 12:44:53: 0h 9min | (eXe) Maj. Gomez(76561198158640145) | HealRepairNear
25.02.2019 12:44:58: 0h 9min | (eXe) Maj. Gomez(76561198158640145) | 
25.02.2019 12:50:15: 0h 14min | (eXe) Maj. Gomez(76561198158640145) | SPECTATE - switchedCamera on (eXe) Maj. Gomez(76561198158640145) - C_man_1
25.02.2019 12:50:17: 0h 14min | (eXe) Maj. Gomez(76561198158640145) | SPECTATE - switchedCamera on (eXe) Maj. Gomez(76561198158640145) - C_man_1
25.02.2019 12:50:20: 0h 14min | (eXe) Maj. Gomez(76561198158640145) | Teleport - Me To Target - (eXe) Maj. Gomez [CIV](76561198158640145)
25.02.2019 12:50:21: 0h 14min | (eXe) Maj. Gomez(76561198158640145) | Teleport - Target To Me - (eXe) Maj. Gomez [CIV](76561198158640145)
25.02.2019 12:50:32: 0h 14min | (eXe) Maj. Gomez(76561198158640145) | God Mode - 1
25.02.2019 12:50:39: 0h 14min | (eXe) Maj. Gomez(76561198158640145) | Lower Terrain - 1
25.02.2019 12:50:40: 0h 14min | (eXe) Maj. Gomez(76561198158640145) | Lower Terrain - 0
25.02.2019 12:50:45: 0h 14min | (eXe) Maj. Gomez(76561198158640145) | Teleport In Facing Direction (10m steps) - 1
25.02.2019 12:50:46: 0h 14min | (eXe) Maj. Gomez(76561198158640145) | Teleport In Facing Direction (10m steps) - 0
25.02.2019 12:51:18: 0h 15min | (eXe) Maj. Gomez(76561198158640145) | Teleport In Facing Direction (10m steps) - 1
25.02.2019 12:51:21: 0h 15min | (eXe) Maj. Gomez(76561198158640145) | Give All Licenses
25.02.2019 12:51:30: 0h 15min | (eXe) Maj. Gomez(76561198158640145) | Give All Licenses
25.02.2019 12:51:35: 0h 15min | (eXe) Maj. Gomez(76561198158640145) | AdminConsole
25.02.2019 12:51:48: 0h 16min | (eXe) Maj. Gomez(76561198158640145) | HealRepairNear
25.02.2019 12:52:55: 0h 17min | (eXe) Maj. Gomez(76561198158640145) | HealSelf
25.02.2019 12:53:01: 0h 17min | (eXe) Maj. Gomez(76561198158640145) | AdminConsole
25.02.2019 12:56:07: 0h 20min | (eXe) Maj. Gomez(76561198158640145) | infiSTAR Player ESP 1 - 1
25.02.2019 12:56:08: 0h 20min | (eXe) Maj. Gomez(76561198158640145) | infiSTAR Player ESP 2 - 1
25.02.2019 12:56:09: 0h 20min | (eXe) Maj. Gomez(76561198158640145) | infiSTAR Player ESP 1 - 0
25.02.2019 12:56:10: 0h 20min | (eXe) Maj. Gomez(76561198158640145) | infiSTAR Player ESP 2 - 0
25.02.2019 12:56:18: 0h 20min | (eXe) Maj. Gomez(76561198158640145) | God Mode - 0
25.02.2019 12:56:30: 0h 20min | (eXe) Maj. Gomez(76561198158640145) | SPECTATE - switchedCamera on (eXe) Maj. Gomez(76561198158640145) - C_man_1
25.02.2019 12:56:31: 0h 20min | (eXe) Maj. Gomez(76561198158640145) | Give All Licenses
